data,index,type,name,value,d0 rent,d1 rent,d2 rent,d3 rent,d4 rent,base output,Group index (Area),minor dev cost (Group),major dev cost (Group),monopoly buff,minor dev buff,major dev buff,move (Card),earn (Card),add turns (Card),notes
Game,,int,startingBalance,1500,,,,,,,,,,,,,,,,value in GET
Game,,int,productionGoal,1600,,,,,,,,,,,,,,,,value in MW
Group,0,Group,New York,,,,,,,,,50,100,4,10,25,,,,
Group,1,Group,Sahara صحراء,,,,,,,,,100,200,6,20,50,,,,
Group,2,Group,Outback,,,,,,,,,150,300,10,40,100,,,,
Group,3,Group,New Delhi नई दिल्ली,,,,,,,,,200,400,18,80,200,,,,
Square,0,Sunrise,Sunrise,200,,,,,,,,,,,,,,,,value is passGoCredit in GET
Square,1,Area,Manhattan Roof Leases,60,2,10,30,90,160,2,0,,,,,,,,,
Square,2,Area,Upstate Photovoltaics Factory,60,4,20,60,180,320,1,0,,,,,,,,,
Square,3,Holiday,Holiday,,,,,,,,,,,,,,,,,
Square,4,Area,Libya ليبيا Land Leases,140,10,50,150,450,625,4,1,,,,,,,,,
Square,5,Area,Cairo القاهرة Photovoltaics Factory,140,10,50,150,450,625,2,1,,,,,,,,,
Square,6,Area,Saharan Grid,160,12,60,180,500,700,1,1,,,,,,,,,
Square,7,Failure,Failure,-2,,,,,,,,,,,,,,,,value is numTurns
Square,8,Area,Victoria Land Leases,260,22,110,330,800,975,8,2,,,,,,,,,
Square,9,Area,Brisbane Photovoltaics Factory,260,22,110,330,800,975,4,2,,,,,,,,,
Square,10,Area,Outback Grid,280,24,120,360,850,1025,2,2,,,,,,,,,
Square,11,Event,Weather,,,,,,,,,,,,,,,,,
Square,12,Area,Gurugram गुरुग्राम Roof Upgrades,350,35,175,500,1100,1300,16,3,,,,,,,,,
Square,13,Area,Ghaziabad गाजियाबाद Photovoltaics Factory,400,50,200,600,1400,1700,8,3,,,,,,,,,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
Card,,Card,Placeholder,,,,,,,,,,,,,,1,1,1,
